Subgrup	Medi	Cuc	T_0	T_7	T_14	T_21	T_28	T_35	T_42	T_49
L1	Destil·lada	1	1,8	1,8	2	2,2	2,6	2,2	2,2	2
L1	Destil·lada	2	2,2	2,4	2,4	2,8	3	2,8	2,6	2,6
L1	Destil·lada	3	2	2,2	2,5	2,8	2,85	3	2,8	2,7
L1	Destil·lada	4	2	2,3	2,5	2,6	2,6	2,5	2,5	2,4
L1	Destil·lada_Marina	5	1,8	2	2,1	2,2	2,3	2,1	2	2
L1	Destil·lada_Marina	6	2	2	2,2	2,3	2,4	2,3	2,3	2,3
L1	Destil·lada_Marina	7	2,8	3	2,9	3,2	3	3	2,9	2,8
L1	Destil·lada_Marina	8	2,4	2,8	2,8	3	3	3	2,8	2,6
L1	Marina_Sacarosa	9	2,4	2,4	2,3	2,2	2,2	2,3	2,4	2,4
L1	Marina_Sacarosa	10	2,4	2,6	2,4	2,4	2,3	2,4	2,3	2,3
L1	Sacarosa	11	2,8	3	2,8	2,8	2,8	2,8	2,8	2,9
L1	Sacarosa	12	4	3,8	4	3,7	3,5	3,6	3,7	3,8
L2	Sacarosa	13	3	2,7	3,1	3	2,9	3	2,6	3
L2	Sacarosa	14	3,5	3	3,5	3,4	3,2	3,2	3,6	3,2
L2	Sacarosa	15	4	4,5	4	4	4	3,5	3,5	3,5
L2	Sacarosa	16	2,9	2,9	2,7	2,5	2,5	2,5	2,5	2,5
L2	Marina_Sacarosa	17	1,6	1,4	1,3	1,6	1,4	1,5	1,6	1,6
L2	Marina_Sacarosa	18	2,8	2,5	2,4	2,6	2,6	2,6	2,4	2,5
L2	Marina_Sacarosa	19	2,4	2,2	2,2	2,2	2,2	2,2	2,2	2,2
L2	Marina_Sacarosa	20	3	2,8	3	2,8	2,8	2,8	2,8	2,8
L2	Destil·lada_Marina	21	1,85	1,9	1,9	2	2	1,8	1,8	1,8
L2	Destil·lada_Marina	22	2,25	2,3	2,3	2,3	2,8	2,6	2,6	2,4
L2	Destil·lada	23	3	3	3,1	3,3	3,6	4	3,6	3,5
L2	Destil·lada	24	2,5	3,2	3,6	3,8	3,6	3,8	3,6	3,8
