Subgrup	Medi	Cuc	V_0	V_7	V_14	V_21	V_28	V_35	V_42	V_49
A	Sacarosa	2	1,6	1,6	1,8	1,8	1,8	1,6	1,6	1,4
A	Marina_Sacarosa	3	2,2	2,2	2,2	2,2	2,2	2	2	2,2
A	Marina_Sacarosa	4	2,5	2,6	2,7	2,7	2,7	2,6	2,6	2,6
A	Destil·lada_Marina	5	2	2,4	2,5	2,6	2,6	2,4	2,4	2,4
A	Destil·lada_Marina	6	1,2	1,3	1,3	1,4	1,4	1,4	1,3	1,3
A	Destil·lada	7	2,6	2,8	3	3,2	3,4	3,2	3	3
A	Destil·lada	8	2,2	2,4	2,6	2,7	2,8	2,6	2,6	2,6
A	Destil·lada	9	2,2	2,2	2,4	2,6	2,8	2,8	2,6	2,8
A	Destil·lada	10	1,8	1,8	2	2,2	2,4	2,2	2	2,2
A	Destil·lada_Marina	11	1,8	2	2,2	2,2	2,4	2,2	2	1,8
A	Destil·lada_Marina	12	1,6	1,6	2,2	2,3	2,4	2	1,7	1,6
